temp,atemp,hum,windspeed,season,yr,mnth,hr,weekday,weathersit
0.2,0.197,0.55,0.2239,1,0,1,11,6,1
0.52,0.5,0.42,0.1045,4,0,10,18,2,1
0.46,0.4545,1.0,0.2239,4,0,12,3,3,3
0.46,0.4545,0.31,0.0,2,0,4,18,0,2
0.2,0.2273,0.75,0.1045,1,0,12,6,0,1
0.72,0.6515,0.3,0.4925,2,1,6,16,3,1
0.22,0.2273,0.87,0.1642,1,0,1,15,2,2
0.42,0.4242,0.77,0.2836,4,1,10,4,0,1
0.6,0.5758,0.78,0.194,1,1,3,13,2,1
0.22,0.197,0.37,0.3284,1,0,2,15,4,1
0.24,0.2424,0.75,0.1343,1,0,1,17,5,1
0.64,0.5758,0.89,0.194,3,1,8,4,0,2
0.6,0.5606,0.83,0.1642,3,0,9,16,2,2
0.28,0.2879,0.61,0.1045,1,1,2,13,3,2
0.52,0.5,0.29,0.2537,2,1,4,16,5,1
0.28,0.2727,0.45,0.2239,4,0,12,16,6,1
0.66,0.6212,0.39,0.2239,2,1,4,19,3,1
0.3,0.2727,0.61,0.3284,1,1,3,9,3,1
0.74,0.6515,0.37,0.1642,3,1,8,18,6,1
0.34,0.2879,0.46,0.5224,1,1,1,4,3,1
0.52,0.5,0.88,0.3881,2,0,5,13,5,2
0.74,0.6667,0.51,0.0,2,0,6,17,0,1
0.24,0.2121,0.6,0.3284,4,0,11,6,6,1
0.62,0.6061,0.65,0.4179,2,0,5,17,2,1
0.54,0.5152,0.83,0.0896,3,0,8,5,3,1
0.54,0.5152,0.88,0.1343,4,1,10,8,5,2
0.28,0.2727,0.56,0.194,4,1,11,22,1,1
0.68,0.6364,0.61,0.1642,2,1,6,23,6,1
0.4,0.4091,0.87,0.1045,4,1,12,11,6,2
0.68,0.6364,0.65,0.0,3,1,7,7,3,1
0.58,0.5455,0.68,0.1343,3,0,8,3,3,1
0.34,0.3182,0.66,0.2239,4,0,12,8,4,2
0.68,0.6364,0.51,0.1045,3,0,8,0,6,1
0.52,0.5,0.88,0.1343,4,1,10,21,4,2
0.36,0.3636,0.4,0.1045,1,0,3,12,0,1
0.86,0.7424,0.3,0.2836,3,0,8,12,2,1
0.7,0.6667,0.84,0.0,3,1,8,3,2,1
0.1,0.1061,0.54,0.2537,1,0,1,5,1,1
0.12,0.1515,0.54,0.1045,1,1,2,3,1,1
0.56,0.5303,0.52,0.2537,2,1,5,10,4,1
0.52,0.5,0.77,0.2239,2,1,4,1,6,1
0.42,0.4242,0.0,0.2239,1,0,3,13,4,3
0.24,0.2273,0.48,0.2239,4,1,11,9,0,2
0.68,0.6364,0.47,0.194,3,0,6,22,6,1
0.64,0.6212,0.36,0.194,2,1,5,13,6,1
0.56,0.5303,0.88,0.1343,2,0,5,19,3,3
0.82,0.7727,0.52,0.0896,3,1,9,13,6,2
0.76,0.7273,0.66,0.2537,3,1,9,17,3,1
0.36,0.3333,0.29,0.2537,4,1,11,16,3,1
0.72,0.6364,0.25,0.2836,2,0,6,17,5,1
0.42,0.4242,0.67,0.0,4,0,11,19,5,1
0.86,0.803,0.47,0.2239,3,1,7,19,3,1
0.52,0.5,0.55,0.3284,4,0,9,22,5,1
0.56,0.5303,0.94,0.2239,2,0,4,4,3,1
0.66,0.6212,0.65,0.1642,2,1,3,17,4,1
0.42,0.4242,0.35,0.1045,4,1,11,14,5,1
0.32,0.3182,0.66,0.194,4,0,12,6,4,1
0.52,0.5,0.72,0.1642,4,1,11,11,1,1
0.52,0.5,0.77,0.2537,4,0,10,7,3,3
0.26,0.2576,0.73,0.2985,4,1,11,19,2,1
0.66,0.5909,0.89,0.2985,3,0,8,5,0,1
0.34,0.303,0.42,0.3284,2,1,4,9,5,1
0.66,0.5909,0.89,0.2836,3,1,9,1,6,2
0.24,0.2879,0.65,0.0,4,1,11,8,1,1
0.3,0.3182,0.75,0.1045,4,0,11,5,6,1
0.4,0.4091,0.76,0.2239,2,0,3,16,3,2
0.32,0.3333,0.49,0.0,1,1,2,9,2,1
0.6,0.6212,0.33,0.3284,4,1,9,16,0,1
0.34,0.3182,0.49,0.2239,4,1,11,9,6,1
0.68,0.6364,0.61,0.1045,3,1,9,11,5,2
0.36,0.3485,0.37,0.1343,2,1,3,22,2,1
0.24,0.2879,0.81,0.0,1,0,1,0,6,1
0.4,0.4091,0.82,0.0,2,1,4,5,4,1
0.42,0.4242,0.54,0.0,2,0,4,2,4,1
0.3,0.2727,0.56,0.3881,1,1,2,12,2,2
0.3,0.3333,0.7,0.0,1,1,3,7,5,1
0.34,0.3182,0.57,0.2239,1,0,12,10,3,1
0.44,0.4394,0.77,0.2239,2,0,4,18,2,3
0.52,0.5,0.52,0.3284,4,0,12,14,4,2
0.34,0.3333,0.49,0.194,4,1,11,21,5,1
